Date,Name of State,Susceptible,Total predicted cases,Death Rate (Predicted),Recovery Rate (Predicted),Population Share,Action,Normalized Action,Reward
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1938697
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30883278
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16162067
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32743827.97
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104944706.9
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1938697
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30883278
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16162067
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32743827.97
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104944705.9
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1938697
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,8,13.11475,10359.91723
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,9,14.7541,1994.446453
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,13,21.31148,74.17227551
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,19,31.14754,0.596002687
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,12,19.67213,11.904393
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,8,16.66667,10359.64886
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16161167
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,8,16.66667,11007.87336
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,14,29.16667,88.45347751
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,18,37.5,0.029480626
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30881678
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16161167
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32741732.6
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104941449.4
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1935697
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30881678
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16161167
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32741732.6
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104941448.4
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1935697
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,13,30.23256,69.79982649
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,6,13.95349,40058.04063
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,6,13.95349,81336.3065
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,4,9.302326,1948310.134
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,14,32.55814,1.608423507
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,4,8.333333,565586.5259
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,9,18.75,1994.261339
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,17,35.41667,1.358384276
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,14,29.16667,88.45197909
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,4,8.333333,35420.5591
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,19,42.22222,0.173003585
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,8,17.77778,5420.695988
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,2,4.444444,4440554.729
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,9,20,13127.32658
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,7,15.55556,1762.84748
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,16,39.02439,3.474689846
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,1,2.439024,5944478.174
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0,0,32811508
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,13,31.70732,240.4324347
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,11,26.82927,32.26930599
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,1,2.380952,11358784.68
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,8,19.04762,5420.394071
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,9,21.42857,4049.150705
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,17,40.47619,4.403603273
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,7,16.66667,1761.206093
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30876378
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16157967
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32738340.08
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104935824.2
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1931397
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,17,29.82456,1.27819244
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,4,7.017544,295936.1625
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,3,5.263158,1633529.048
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,17,29.82456,4.403532852
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,16,28.07018,0.217170043
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30874678
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16157567
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32738040.75
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104934146.2
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1929797
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,14,35.89744,25.67201731
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,1,2.564103,5943999.931
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,9,23.07692,4049.002613
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,11,28.20513,1776.493557
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,4,10.25641,35338.13873
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30873278
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16157467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32737142.73
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104933060
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1929397
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30873278
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16157467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32737142.73
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104933059
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1929397
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30873278
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16157467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32737142.73
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104933058
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1929397
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30873278
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16157467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32737142.73
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104933057
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1929397
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30873278
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16157467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32737142.73
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104933056
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1929397
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30873278
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16157467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32737142.73
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104933055.1
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1929397
