"time","S","E","I","R","Epoch"
2020-09-27,145843544.397841,14129205.3273744,20053835.7076606,12883798.1871236,8
2020-09-28,141751462.44805,15184037.5143162,22039255.7492551,13935627.908379,8
2020-09-29,137465827.748602,16215930.0565356,24138995.5224631,15089630.2923997,8
2020-09-30,133011327.126849,17206794.7228808,26341027.9926628,16351233.7776076,8
2020-10-01,128417718.670109,18137360.715749,28630118.5864864,17725185.6476557,8
2020-10-02,123718931.278065,18988211.0188636,30987850.0147274,19215391.3083439,8
2020-10-03,118951871.783881,19740895.1354848,33392856.5439945,20824760.1566399,8
2020-10-04,114154972.586413,20379061.861654,35821280.4913886,22555068.6805448,8
2020-10-05,109366597.621653,20889507.296539,38247427.2902752,24406851.4115331,8
2020-10-06,104623428.197448,21263041.0308947,40644584.6014095,26379329.7902475,8
2020-10-07,99958959.2732532,21495098.3877426,42985944.0489591,28470381.9100451,8
2020-10-08,95402245.9947915,21585990.6549293,45245582.9577981,30676564.0124812,8
2020-10-09,90976987.8263273,21540819.6338478,47399398.4227239,32993177.737101,8
2020-10-10,86701014.6556854,21369039.4648682,49425946.2707659,35414383.2286806,8
2020-10-11,82586184.9328129,21083725.7036618,51307123.6769751,37933349.3065502,8
2020-10-12,78638661.2456726,20700644.6045534,53028644.1428169,40542433.6269571,8
2020-10-13,74859497.8882552,20237214.5082329,54580290.464696,43233380.7588159,8
2020-10-14,71245450.5679029,19711462.4816555,55955943.3946439,45997527.1757977,8
2020-10-15,67789913.813437,19141062.8082075,57153404.4341004,48826002.5642552,8
2020-10-16,64483897.0522483,18542521.1660308,58174047.6323631,51709917.7693578,8
2020-10-17,61316964.7970016,17930545.2577955,59022341.6450293,54640531.9201736,8
2020-10-18,58278085.6286164,17317616.2706929,59705288.3523221,57609393.3683686,8
2020-10-19,55356353.9121391,16713755.7969122,60231822.5164292,60608451.3945196,8
2020-10-20,52541565.7545727,16126468.279834,60612211.8064891,63630137.7791043,8
2020-10-21,49824645.0254283,15560829.6038009,60857489.9122215,66667419.0785493,8
2020-10-22,47197925.5788681,15019688.8364168,60978947.2910105,69713821.9137046,8
2020-10-23,44655302.8127657,14503950.0069054,60987696.1964976,72763434.6038313,8
2020-10-24,42192271.8329096,14012903.2705937,60894319.399589,75810889.1169077,8
2020-10-25,39805871.4720377,13544578.8288715,60708605.6943489,78851327.6247419,8
