"time","S","E","I","R","Epoch"
2020-10-08,96072386.8885781,21620492.4877289,45268251.7391851,30677892.402458,8
2020-10-09,91634174.3477082,21580582.9478488,47428469.8075762,32995796.414817,8
2020-10-10,87344125.7341282,21414090.697656,49462175.7296323,35418631.3565337,8
2020-10-11,83214196.4564897,21133998.5474154,51351225.6529526,37939602.8610924,8
2020-10-12,79250656.9068094,20755987.6682964,53081276.0186778,40551102.9241665,8
2020-10-13,75454675.2216425,20297401.9316089,54642039.1089825,43244907.2557162,8
2020-10-14,71823122.9688335,19776205.9456583,56027314.9304136,46012379.6730447,8
2020-10-15,68349509.1313352,19210024.5401053,57234816.8348558,48844673.0116538,8
2020-10-16,65024953.8718324,18615326.6763766,58265826.2343113,51732916.7354299,8
2020-10-17,61839127.0604092,18006795.0811163,59124717.4865157,54668383.889909,8
2020-10-18,58781096.0770297,17396896.6126708,59818398.7898945,57642632.0383551,8
2020-10-19,55840046.8296545,16795647.7547735,60355713.8908796,60647615.0426425,8
2020-10-20,53005859.4848751,16210555.6247295,60746843.5934631,63675764.8148824,8
2020-10-21,50269534.0883902,15646705.3303303,61002740.2872789,66720043.8119507,8
2020-10-22,47623473.5887434,15106959.9596821,61134619.3028728,69773970.6666518,8
2020-10-23,45061635.0873202,14592241.371224,61153524.9520018,72831622.1074042,8
2020-10-24,42579569.0345566,14101859.9812342,61069979.195634,75887615.3065252,8
2020-10-25,40174364.1933678,13633867.3514787,60893717.1957622,78937074.7773414,8
2020-10-26,37844518.0759205,13185409.8473562,60633507.3934731,81975588.2012004,8
2020-10-27,35589752.3929363,12753065.4077093,60297050.4625592,84999155.2547454,8
2020-10-28,33410791.2035869,12333150.726685,59890948.41562,88004133.1720582,8
2020-10-29,31309118.1363407,11921989.6648675,59420733.4032105,90987182.3135314,8
2020-10-30,29286726.8906075,11516137.2523514,58890944.9504997,93945214.4244915,8
2020-09-16,177555908.51795,2399309,7522336,6161470,7
2020-09-17,175548867.368074,3763591.63926049,7783568.62912156,6542995.88149424,7
2020-09-18,173475187.102453,4933649.09775742,8286347.50785567,6943839.80988423,7
2020-09-19,171284248.04457,5991309.95418071,8988520.379439,7374945.13976039,7
2020-09-20,168938152.309507,6991677.49970747,9863625.76413335,7845567.94460197,7
2020-09-21,166408273.678039,7971202.08146646,10895628.8764172,8363918.88202778,7
2020-09-22,163673188.21247,8953033.31400088,12075213.9015769,8937588.08990199,7
2020-09-23,160717556.269933,9950505.0319911,13397150.7939278,9573811.42209807,7
2020-09-24,157531625.130053,10969413.127257,14858361.3968936,10279623.8637461,7
2020-09-25,154111123.491563,12009517.5300767,16456453.5065313,11061928.989779,7
2020-09-26,150457374.600663,13065566.8984026,18188578.6483018,11927503.3705824,7
